BGM#,SD Label,Game Title,Track Title,Console,Track Type,Location,Composers,Platform,Year of Release,Youtube URL
2312,Best VGM 2312,Shovel Knight,The Requiem Of Shield Knight,8TH,PLAY,Post-Boss Bonus Games ~ Catch Shield Knight!,Jake Kaufman,PC / Switch / PS4 / XB1 / 3DS / Etc.,2014,https://youtu.be/OpWV-EnVQMQ
2313,Best VGM 2313,Hollow Knight,Kingdom's Edge,8TH,LEVEL,Kingdom's Edge,Christopher Larkin,PC,2017,https://youtu.be/UJVo3TAFMiQ
2314,Best VGM 2314,Super Mario Odyssey,"New Donk City, Day",SWCH,LEVEL,New Donk City ~ Normal,Naoto Kubo,Switch,2017,https://youtu.be/TQYWCdgptnw
2315,Best VGM 2315,Castlevania: Bloodlines,Sinking Old Sanctuary,GEN,LEVEL,Stage 2: Atlantis Shrine,Michiru Yamane,Genesis,1994,https://youtu.be/d4vIniT4Y5g
2316,Best VGM 2316,The World Ends With You,Calling,DS,PLAY,Week 1 (Shiki's Week) ~ Exploring Shibuya,Takeharu Ishimoto,DS,2008,https://youtu.be/XXQs7CDxrEg
2317,Best VGM 2317,Anodyne 2,Center City Cenote,PC,LEVEL,Center City Cenote,Sean Han Tani,PC,2019,https://youtu.be/evIvf7i-E64
2318,Best VGM 2318,Ori and the Blind Forest,Riding The Wind,XB1,LEVEL,Valley of the Wind / Sorrow Pass,Gareth Coker & Rachel Mellis,PC / Xbox One / Switch,2015,https://youtu.be/9s9rqBIo4ZY
2319,Best VGM 2319,The Sims: Bustin' Out,Prison [GBA],GBA,LEVEL,Prison,Ian Stocker,GBA,2003,https://youtu.be/LvnmHH9xI3E
2320,Best VGM 2320,Deltarune,Hip Shop,PC,MENU,Hip Shop,Toby Fox,PC / Switch,2018,https://youtu.be/OJRDG0LTEbo
2321,Best VGM 2321,We ♥ Katamari,Houston,PS2,LEVEL,Chapter 1 ~ Clean Up The Room / Chapter 2 ~ Rolling Underwater,Hideki Tobeta & YOU,PS2,2005,https://youtu.be/8KzOLdd285M
2322,Best VGM 2322,Super Mario Vista 2,Chainlink Charge,WIIU,LEVEL,World 3-2: Chainlink Charge,"Mahito Yokota, Toru Minegishi, Yasuaki Iwata & Koji Kondo",Wii U,2013,https://youtu.be/e-VnnbJAicw
2323,Best VGM 2323,Xenoblade,Makna Forest: DAY,WII,LEVEL,Makna Forest ~ Day,Manami Kiyota,Wii,2010,https://youtu.be/r5Bw5ksnTXs
2324,Best VGM 2324,Dragon Ball Z: Harakanaru Densetsu,Frieza's Ship,DS,LEVEL,Frieza's Ship,Kenji Yamamoto,DS,2007,https://youtu.be/rs9O1lt37hM
2325,Best VGM 2325,Persona 4,I'll Face Myself In Battle,PS2,BOSS,Boss Battles,Shoji Meguro,PS2,2008,https://youtu.be/2mX9R9XQUFo
2326,Best VGM 2326,Spongebob Squarepants: Supersponge!,Oil Rig,PS1,LEVEL,Chapter 5: Industrial ~ Jellyfish Fields / Oil Rig,Matt Simmonds,PS1,2001,https://youtu.be/Wlq6mjT9IUo
2327,Best VGM 2327,StarFox Wars,StarWolf,N64,BOSS,StarWolf,Hajime Wakai,N64,1997,https://youtu.be/MJYBHWRA9Vw
2328,Best VGM 2328,Dragon Quest VIII: Journey of the Cursed King,Remembrances…,PS2,LEVEL,Cursed Trodain,Koichi Sugiyama,PS2,2004,https://youtu.be/uJ1g3k8IZHI
2329,Best VGM 2329,Even The Ocean,"Earth Geome, The Great Beast",SWCH,THEME,The Earth Geome,Sean Han Tani,PC / Switch,2016,https://youtu.be/tHHnMKNPx3Y
2330,Best VGM 2330,CrossCode,Sapphire Ridge,PC,LEVEL,Sapphire Ridge,Deniz Akbulut,PC / Switch,2018,https://youtu.be/6ubt6yl8QYI
2331,Best VGM 2331,Mario Kart 64,Bro Raceways,N64,LEVEL,Luigi Circuit / Mario Circuit,Kenta Nagata,N64,1997,https://youtu.be/h3Tv0tMHp_U
2332,Best VGM 2332,The Legend of Zelda: Link's Reawakening,Face Shrine,SWCH,LEVEL,Face Shrine,Ryo Nagamatsu,Switch,2019,https://youtu.be/DrNjZoCWIeM
2333,Best VGM 2333,Fez,Love,X360,LEVEL,Secret Heart Room,DisasterPeace,X360,2012,https://youtu.be/1o7OJxy9zs0
2334,Best VGM 2334,Final Fantasy IX,Black Mage Village,PS1,LEVEL,Black Mage Village,Nobuo Uematsu,PS1,2000,https://youtu.be/19-I0ldq8SM
2335,Best VGM 2335,Wild Arms 5,"A Vast Plain, Under That Sky",PS2,MENU,Filgaia ~ World Map (Overworld),Masato Kouda,PS2,2007,https://youtu.be/nAI8tXi5HHU
2336,Best VGM 2336,Super Mario Bros. 2,Ending,NES,SCENE,Ending & Credits,Koji Kondo,NES,1988,https://youtu.be/1snw7MAzXcA
2337,Best VGM 2337,Kirby's Rainbow Paintbrush,Final Battle,WIIU,BOSS,FINAL BOSS ~ Concrete Matter,Shogo Sakai,Wii U,2015,https://youtu.be/mTu_V0VNo_0
2338,Best VGM 2338,Koudelka,Dead,PS1,SCENE,"Koudelka & Edward drink Alcohol while waiting for James, where Koudelka mourns her Childhood",Hiroki Kikuta,PS1,1999,https://youtu.be/cGnKzKykf6U
2339,Best VGM 2339,Chrono Trigger,Factory Ruins,SNES,LEVEL,2500 A.D. ~ Factory Ruins,Yasunori Mitsuda,SNES,1995,https://youtu.be/03LMfO_d1zs
2340,Best VGM 2340,Bloodborne,The First Hunter,PS4,BOSS,FINAL BOSS ~ Gehrman,Tsukasa Saitoh,PS4,2015,https://youtu.be/HclapFOC-Pg
2341,Best VGM 2341,Contact,Caldoaxa: OUTSIDE,DS,LEVEL,Caldoaxa ~ Outside,Jun Fukuda & Masafumi Takada,DS,2006,https://youtu.be/LBm0a6tMLFE
2342,Best VGM 2342,Kingdom Hearts II,Sinister Sundown,PS2,PLAY,Twilight Town ~ Roxas' Battles,Yoko Shimomura,PS2,2006,https://youtu.be/HEZ-3z2pWok
2343,Best VGM 2343,Intelligent Qube,The 1st Tide,PS1,LEVEL,1st Stage / 5th Stage,Takayuki Hattori,PS1,1997,https://youtu.be/aVVjP7A1oXc
2344,Best VGM 2344,Sonic Forces,Ghost Town,8TH,LEVEL,Suburban Invasion ~ Classic Sonic's Act (Ghost Town),Naofumi Hataya,Switch / PS4 / XB1 / PC,2017,https://youtu.be/M6kf6xUt0s8
2345,Best VGM 2345,Final Fantasy VI,Phantom Train,SNES,LEVEL,Phantom Train,Nobuo Uematsu,SNES,1994,https://youtu.be/X68zgDXWOEs
2346,Best VGM 2346,Banjo-Kazooie,Inside The Church,N64,LEVEL,Mad Monster Mansion ~ Church,Grant Kirkhope,N64,1998,https://youtu.be/HRHx5m4xwK0
2347,Best VGM 2347,Silent Hill 3,Walk On Vanity Ruins,PS2,SCENE,Heather comes across Douglas Cartland again in the Central Square Mall,Akira Yamaoka,PS2 / PC / PS3 / X360,2003,https://youtu.be/6RbiJ4tG4hk
2348,Best VGM 2348,Resident Evil 4,Regenerators,GC,PLAY,Chapter 5-1 ~ In the Presence of Regenerators,Misao Senbongi & Shusaku Uchiyama,GameCube / PS2 / PC / Wii / Etc.,2005,https://youtu.be/Sh6FFLQXtnw
2349,Best VGM 2349,Lisa The Painful,Summer Love,PC,LEVEL,Overworld ~ Tutorial Area,Widdly 2 Diddly,PC,2014,https://youtu.be/WN0eFEgx9fM
2350,Best VGM 2350,Persona 5,Ideal And The Real,PS4,THEME,Dr. Takuto Maruki,Shoji Meguro & Lyn,PS4,2019,https://youtu.be/uvDJvgKWPwo
2351,Best VGM 2351,Disco Elysium,Whirling-In-Rags Hotel: DAY,PC,LEVEL,Whirling-In-Rags Hotel ~ Day,British Sea Power,PC,2019,https://youtu.be/7_uC3uW8I78
2352,Best VGM 2352,Pokémon SoulSilver / HeartGold,National Park,DS,LEVEL,National Park,Go Ichinose,DS,2010,https://youtu.be/ieXyvGbw-TM
2353,Best VGM 2353,Mother 3,Resolve (Gum Guy Recommends),GBA,PLAY,Chapter 5: Dur-T Café ~ Playing the Jukebox after listening to the Gum Chewer's Recommendation,Shogo Sakai,GBA,2006,https://youtu.be/Hnk9hd0tZ7o
2354,Best VGM 2354,Threads of Fate,"Rocky Mountain, Sky Garden",PS1,LEVEL,Raging Mountain,Junya Nakano,PS1,2000,https://youtu.be/_ZWF_i0k7ls
2355,Best VGM 2355,Mega Man 11,Farewell To Ballade,7TH,LEVEL,Ballade's Stage (Special Stage 3),Ryo Kawakami,Wii / X360 / PS3,2010,https://youtu.be/wFsbFjMm8aM
2356,Best VGM 2356,The Legend of Zelda: Breath of the Wild,Rito Village: DAY,SWCH,LEVEL,Rito Village ~ Day,Manaka Kataoka & Yasuaki Iwata,Switch / Wii U,2017,https://youtu.be/NrX1L5WjExw
2357,Best VGM 2357,Sprint Vector,Intergalactica,PS4,MENU,Main Menu Hub Area,Spencer Kitagawa,PC / PS4,2018,https://youtu.be/vvhI2ClaD-Q
2358,Best VGM 2358,Waterworld: The Game,Shop,SNES,MENU,Shop,Dean Evans,SNES,1995,https://youtu.be/gLOqgd1LaOs
2359,Best VGM 2359,Baba Is You,Water Is Sink,PC,LEVEL,The Lake,Arvi Teikari,PC / Switch,2019,https://youtu.be/YGBvSFNKuzM
2360,Best VGM 2360,Metroid Prime,Parasite Queen Battle,GC,BOSS,Parasite Queen,Kenji Yamamoto,GameCube,2002,https://youtu.be/V7mVqWQDBdA
2361,Best VGM 2361,Asterix and the Solo Rescue,Rome [GB],GB,LEVEL,Act 4: Rome,Alberto Jose Gonzalez,Game Boy,1993,https://youtu.be/pcm8uUGLY_E
2362,Best VGM 2362,Breath of Fire II,We're Rangers,SNES,MENU,World Map (Overworld),Yuuko Takehara,SNES,1995,https://youtu.be/s6fgGxC_-Wk
2363,Best VGM 2363,Mario Kart U,Animal Crossing: WINTER,WIIU,LEVEL,Animal Crossing ~ Winter Variant,Atsuko Asahi,Switch,2017,https://youtu.be/86whHVbgj6I
2364,Best VGM 2364,Tales of Symphonia 2,A Snow Light,WII,LEVEL,Flanoir,Motoi Sakuraba & Shinji Tamura,Wii,2008,https://youtu.be/CjLstc-ra9w
2365,Best VGM 2365,Undertale,Forestbite,PC,LEVEL,Forestbite (Snowdin Forest),Toby Fox,PC,2015,https://youtu.be/g-Gzwq0yBvU
2366,Best VGM 2366,Pokémon Explorers Dungeon,Sky Peak's Snowfield,DS,LEVEL,Sky Peak ~ Snowfield,"Arata Iiyoshi, Hideki Sakamoto & Keisuke Ito",DS,2007,https://youtu.be/LLs0OMyIKRE
2367,Best VGM 2367,Croc,Snow Island 3,PS1,LEVEL,World 2: Snow Island ~ Stage 3,Justin Scharvona,PS1 / Saturn / PC,1997,https://youtu.be/Lu6PS2wM-qc
2368,Best VGM 2368,Super Mario Vista 2,Snowball Park,WIIU,LEVEL,World 3-1: Snowball Park,"Mahito Yokota, Toru Minegishi, Yasuaki Iwata & Koji Kondo",Wii U,2013,https://youtu.be/g2qaTvcrePc
2369,Best VGM 2369,Final Fantasy X,Tidus' Theme,PS2,THEME,Tidus,Nobuo Uematsu,PS2,2001,https://youtu.be/HFEIn_8ghB4
2370,Best VGM 2370,Mighty Switch Force 2!,Rescue Girl,3DS,SCENE,Staff Credits,Jake Kaufman,3DS / Wii U / Switch / PC / PS4 / XB1,2013,https://youtu.be/p3bWFJLVON4
2371,Best VGM 2371,Castlevania: Dawn of Sorrow,Pitch Black Intrusion,GBA,LEVEL,Lost Village,Michiru Yamane,DS,2005,https://youtu.be/yMc-MqtYlpY
2372,Best VGM 2372,Emil Chronicle,Seeker Of The Abyss,PC,PLAY,Special Events ~ Empty Abyss / Illusionary Abyss,ACE,PC,2009,https://youtu.be/aIyNNnS-a_c
2373,Best VGM 2373,Celeste,Resurrections,8TH,PLAY,Dream World ~ Blocks Inactive,Lena Raine,PC / Switch / PS4 / XB1,2018,https://youtu.be/0WEoVyBNxYY
2374,Best VGM 2374,Double Dragon 2,Lumber Stockhouse [ARC],ARC,LEVEL,Mission 2: Lumber Stockhouse,Kazunaka Yamane,Arcade,1988,https://youtu.be/HPFFFFulx9g
2375,Best VGM 2375,Kirby's Crystal Shards,Quiet Forest,N64,LEVEL,World 1: Pop Star ~ Stage 2,Jun Ishikawa & Hirokazu Ando,N64,2000,https://youtu.be/kgaR4o208wg
2376,Best VGM 2376,7th Dragon,Swords Bursting,DS,PLAY,Enemy Battles,Yuzo Koshiro,DS,2009,https://youtu.be/yihsqeK9CkU
2377,Best VGM 2377,Lost Odyssey,Great Ruins Of The East,X360,LEVEL,Northern Cape,Nobuo Uematsu,X360,2007,https://youtu.be/mlqSYn42HQ4
2378,Best VGM 2378,Radiant Historia,Beyond The Wilderness,DS,LEVEL,Lazvil Hills,Yoko Shimomura,DS / 3DS,2011,https://youtu.be/dpo_wda5Dzc
2379,Best VGM 2379,Maple Story,Missing You,PC,LEVEL,Ellinia,Wizet,PC,2003,https://youtu.be/46dgcmYbock
2380,Best VGM 2380,NieR: Automata,Emil (Despair),PS4,BOSS,EXTRA BOSS ~ Emil,Keiichi Okabe,PS4 / XB1 / PC,2017,https://youtu.be/7LW_plPdHwU
2381,[GOTY 2019 #15] Best VGM 2381,Tetris 99,School 99,SWCH,PLAY,School ~ 99-50 Players,Teruo Taniguchi,Switch,2019,https://youtu.be/2LBmAbYqtbw
2382,[GOTY 2019 #14] Best VGM 2382,Gato Roboto,Landing Site,SWCH,LEVEL,Landing Site,Doinksoft,PC / Switch,2019,https://youtu.be/LrKMKTH7KCU
2383,[GOTY 2019 #13] Best VGM 2383,Remnant From The Ashes,Yaesha,8TH,BOSS,Yaesha,The Audio Hive,PC / PS4 / XB1,2019,https://youtu.be/dX4sjgdv1lA
2384,[GOTY 2019 #12] Best VGM 2384,The Touryst,Underwater Diving,SWCH,PLAY,Underwater Diving,Bjulin,Switch,2019,https://youtu.be/-6xYmbCOWss
2385,[GOTY 2019 #11] Best VGM 2385,Astral Chain,Yoseph Calvert,SWCH,THEME,Yoseph Calvert,Satoshi Igarashi,Switch,2019,https://youtu.be/P6Yt1b9YvU8
2386,[GOTY 2019 #10] Best VGM 2386,Blasphemous,Arpegios En Ocre,8TH,LEVEL,Desecrated Cistern,Carlos Viola,PC / Switch / XB1 / PS4,2019,https://youtu.be/dqhlftp8Pa4
2387,[GOTY 2019 #9] Best VGM 2387,Anodyne 2,Pastel Horizon,PC,LEVEL,8-Bit World ~ Pastel Horizon,Sean Han Tani,PC,2019,https://youtu.be/aHND83r6qwc
2388,[GOTY 2019 #8] Best VGM 2388,Bloodstained: Ritual of the Night,Gears Of Fortune,8TH,LEVEL,Tower Of Twin Dragons,Ryusuke Fujioka,PC / Switch / PS4 / XB1,2019,https://youtu.be/wCC9RPDtX1Y
2389,[GOTY 2019 #7] Best VGM 2389,Resident Evil 2 RElived,Last Judgement,PS4,BOSS,T-103 (Mr. X),Shusaku Uchiyama & Zhenlan Kang,PC / PS4 / XB1,2019,https://youtu.be/PnAhryPUaHY
2390,[GOTY 2019 #6] Best VGM 2390,The Legend of Zelda: Link's Reawakening,Mabe Village,SWCH,LEVEL,Mabe Village,Ryo Nagamatsu,Switch,2019,https://youtu.be/l03Ty1XSt90
2391,[GOTY 2019 #5] Best VGM 2391,Disco Elysium,Phasmid,PC,SCENE,Phasmid's Identity Reveal,British Sea Power,PC,2019,https://youtu.be/q0nd7OATmTE
2392,[GOTY 2019 #4] Best VGM 2392,Control,Metamorphosis,8TH,,,Petri Alanko & Martin Stig Andersen,PC / PS4 / XB1,2019,https://youtu.be/EUb71hXBOK4
2393,[GOTY 2019 #3] Best VGM 2393,A Short Hike,Somewhere In The Woods (Short Hike),PC,PLAY,Hiking in the Forest Outskirts,Mark Sparling,PC,2019,https://youtu.be/tFAAMMaYOKc
2394,[GOTY 2019 #2] Best VGM 2394,The Outer Wilds,Main Theme,8TH,THEME,Main Theme,Andrew Prahlow,PC / PS4 / XB1,2019,https://youtu.be/H-DkPaNEnpQ
2395,[GOTY 2019 #1] Best VGM 2395,Sekiro,Divine Dragon,8TH,BOSS,Divine Dragon,Yuka Kitamura,PC / PS4 / XB1,2019,https://youtu.be/EFCsatSZje4
2396,Best VGM 2396,Super Mario Galaxy,Debris Spaceyard,WII,LEVEL,Debris Spaceyard (Spacejunk Galaxy),Mahito Yokota,Wii,2007,https://youtu.be/S5VSrP7lWog
2397,Best VGM 2397,Sleepwalker,Construction Site [CD32],CD32,LEVEL,Stage 4: Construction Site,"Barry Leitch, James Veal & Dave Newman",Amiga CD32,1993,https://youtu.be/M5nHA4Eewu0
2398,Best VGM 2398,Final Fantasy VII,Bombing Mission,PS1,SCENE,Opening Bombing Mission,Nobuo Uematsu,PS1,1997,https://youtu.be/sa2kxMuTaWc
2399,Best VGM 2399,Ragnarok Online 2,Sailing,PC,THEME,"Unused ~ The Sailing Theme most likely, but was removed from the Legend Of The Second Version",Yoko Kanno,PC,2007,https://youtu.be/fUmL43It354
2400,Best VGM 2400,Animal Crossing: Island Horizons,Shop Closing,SCH,PLAY,Nook's Crannies ~ Past Opening Hours,"Yasuaki Iwata, Shinobu Nagata, Masato Ohashi, Yumi Takahashi & Sayako Doi",Switch,2020,https://youtu.be/dvQEPoa97oM
2401,Best VGM 2401,Earthbound,Because I Love You,SNES,PLAY,Epilogue ~ Exploring the World after defeating the Final Boss,Keiichi Suzuki & Hirokazu Tanaka,SNES,1994,https://youtu.be/eWcOP9-VMio
2402,Best VGM 2402,Metal Masters,Metal Beat,GB,SCENE,Intro,Alberto Jose Gonzalez,Game Boy,1993,https://youtu.be/bnQaGv3OBLk
2403,Best VGM 2403,Castlevania: Symphony of the Night,Rainbow Cemetery,PS1,LEVEL,Catacombs,Michiru Yamane,PS1,1997,https://youtu.be/ieY5sFJk0bE
2404,Best VGM 2404,Shadow of the Colossus,In Awe Of The Power,PS2,BOSS,Gaius / Hydrus / Pelagia / Phalanx,Koh Otani,PS2 / PS3,2005,https://youtu.be/8wFBM3bLAyM
2405,Best VGM 2405,Paper Mario,Goomba Village,N64,LEVEL,Goomba Village,Yuka Tsujiyoko & Taishi Senda,N64,2000,https://youtu.be/rrkuzVmoEUI
2406,Best VGM 2406,Ape Escape: Pumped & Primed,Rival Battle!,PS2,BOSS,Jake,Soichi Terada,PS2,2004,https://youtu.be/McmAEmUuqjg
2407,Best VGM 2407,Monster Boy: Cursed Kingdom,Misty Woods,8TH,LEVEL,Misty Woods,Yuzo Koshiro,PC / Switch / PS4 / XB1,2018,https://youtu.be/j9MxGSmqewA
2408,Best VGM 2408,Skies of Arcadia,Blue Rogues' Ship,DC,PLAY,Sailing the Blue Rogues' Ship in the Skies,Yutaka Minobe & Takayuki Maeda,Dreamcast / GameCube,2000,https://youtu.be/6ZigXVm-fZI
2409,Best VGM 2409,Final Fantasy VII-R,Under The Rotting Pizza,PS4,LEVEL,Sector 5 Slums,Shotaro Shima,PS4,2020,https://youtu.be/T8zQhU0FJKE
2410,Best VGM 2410,Treasure Hunter G,Surrounded By Forest,SNES,LEVEL,Irato Forest,John Pee (Mitsuhito Tanaka),SNES,1996,https://youtu.be/hF0d9IeTJ04
2411,Best VGM 2411,Street Fighter VS X-Men,Wolverine's Theme,SAT,THEME,Wolverine,Yuki Iwai & Yuko Kadota,Arcade / PS1 / Saturn,1996,https://youtu.be/FhTVyc-sdJA
2412,Best VGM 2412,Ori and the Will o' Wisps,Luma Pools,XB1,LEVEL,Luma Pools,Gareth Coker,PC / XB1,2020,https://youtu.be/5wbXXXETIRk
2413,Best VGM 2413,Mega Man 5,Gravity Man's Stage,NES,LEVEL,Gravity Man's Stage,Mari Yamaguchi,NES,1992,https://youtu.be/v1uGJrxvhQA
2414,Best VGM 2414,Harvest Moon: Magical Melody,Fall,GC,PLAY,Autumn Time,Miyuki Homareda,GameCube / Wii,2005,https://youtu.be/FWL1CJdleSI
2415,Best VGM 2415,Trials of Mana Remake,Nuclear Fusion,PS4,BOSS,Full Metal Hugger,Ryo Yamazaki,PS4 / Switch / PC,2020,https://youtu.be/hGkDLSEZ0OA
2416,Best VGM 2416,Roommania #204,LOVELABOR,PS2,SCENE,Chapter 1 ~ Staff Credits,Serani Poji,PS2,2003,https://youtu.be/tJM6db53WP8
2417,Best VGM 2417,F-Zero GX,Rolling Turtle,GC,THEME,QQQ,Daiki Kasho,GameCube,2003,https://youtu.be/5aweGMVtSbY
2418,Best VGM 2418,Tetris Magic,Big Bad Wolf's Theme,PS1,THEME,Big Bad Wolf,Masato Kouda,Arcade / N64 / PS1,1998,https://youtu.be/lqqdgdXYmTc
2419,Best VGM 2419,Final Fantasy V,Main Theme,SNES,THEME,Main Theme,Nobuo Uematsu,SNES,1992,https://youtu.be/KsbROiKStKA
2420,Best VGM 2420,Bomberman World,Planet Forest,PS1,LEVEL,Snakebomber,Hironao Yamamoto & Jun Chikuma,PS1,1998,https://youtu.be/ZKrGhPRTzv8
2421,Best VGM 2421,Super Mario Odyssey,"Dry Shore, Bubblaine",SWCH,LEVEL,Bubblaine ~ Above the Water's Surface,Naoto Kubo,Switch,2017,https://youtu.be/q1_sV-UvgHE
2422,Best VGM 2422,Crystal Beans,Skullish Maze,SNES,LEVEL,Skullish Maze,"Yoshio Tsuru, Jun Takema, Tsukasa Masuko & Bang Heads",SNES,1995,https://youtu.be/u-gDQIZmkM8
2423,Best VGM 2423,Pop'n Music SP,Attack In The Minor Key,ARC,PLAY,Attack In The Minor Key,Mr. T,Arcade,2012,https://youtu.be/RKtMOeBsykM
2424,Best VGM 2424,Suikoden,Main Theme (Ensemble),PS1,THEME,"Main Theme ~ Played at the ""Fix The Hero"" Event","Tappy Iwase, Mayuko Kageshita, Hiroshi Tamawari & Setsu Taniguchi",PS1 / Saturn / PC,1995,https://youtu.be/Z9oYP0hhXX8
2425,Best VGM 2425,Donkey Kong Country: Donkey's Kong Caper,Simian Segue,SNES,MENU,World Map,Eveline Fischer,SNES,1994,https://youtu.be/G0tD9u9EzKc
2426,Best VGM 2426,Xenoblade: Resharpened,Bionis' Shoulder,SWCH,LEVEL,Future Connected DLC ~ Bionis' Shoulder,Manami Kiyota & ACE+,Switch,2020,https://youtu.be/USek0RHu_go
2427,Best VGM 2427,Sega Rally,"My Dear Friend, Rally",SAT,SCENE,Practice Mode ~ Ending,Tetsuya Mizuguchi & Naoki Takao,Saturn,1995,https://youtu.be/RrIyFLGF43w
2428,Best VGM 2428,Vernal Edge,Title Theme,9TH,MENU,Title Screen,PluswPlus,PC,TBA,https://youtu.be/ENxb23y_U7g
2429,Best VGM 2429,Castlevania: Curse of Darkness,Eneomaos Machine Tower,PS2,LEVEL,Eneomaos Machine Tower,Michiru Yamane,PS2 / Xbox,2005,https://youtu.be/4MoOGgxugF4
2430,Best VGM 2430,Power Rangers: Fighting Force,Data Zone,SNES,LEVEL,Data Zone,Hiroyuki Iwatsuki,SNES,1995,https://youtu.be/UMJxQxMf0dg
2431,Best VGM 2431,Silent Hill 2,The Reverse Will,PS2,SCENE,Rebirth Ending,Akira Yamaoka,PS2 / Xbox / PC,2001,https://youtu.be/u7zmq3iIW4E
2432,Best VGM 2432,Mario Kart WII,DK Summit,WII,LEVEL,DK Summit,Asuka Ohta & Ryo Nagamatsu,Wii,2008,https://youtu.be/Cf5utF11zOg
2433,Best VGM 2433,Headlander,The Fondlarium,8TH,LEVEL,The Fondlarium,David Gregory Earl,PC / PS4 / XB1,2016,https://youtu.be/CakTi2YhdXs
2434,Best VGM 2434,The Legend of Zelda: Majora's Mask,Astral Observatory,N64,LEVEL,Clock Town ~ Astral Observatory,Koji Kondo,N64,2000,https://youtu.be/Z_oF9nVpiwA
2435,Best VGM 2435,Killer7,Tecks Mecks,GC,LEVEL,Ulmeyda InterCity (Chapter 2: Cloudman),Masafumi Takada,GameCube / PS2 / PC,2005,https://youtu.be/WmJmSY-aYD4
2436,Best VGM 2436,Dragon Quest VI: Realms of Revelation,At The Palace,SNES,LEVEL,Somnia Palace / Arkbolt Castle / Howcastle,Koichi Sugiyama,SNES,1995,https://youtu.be/WsfmXxJD12Q
2437,Best VGM 2437,YU-NO,Fate,PC98,SCENE,Prologue ~ Kozo Ryuzouji holds a Gun on Atsushi Hojo demanding he hand over the Reflector Device,Ryu Umemoto,PC-98,1996,https://youtu.be/u0B0YsaZiIM
2438,Best VGM 2438,Wild Arms,Hope,PS1,LEVEL,Surf Village,Michiko Naruke,PS1,1997,https://youtu.be/xowXa5NAbAA
2439,Best VGM 2439,Mother,Pollyanna,NES,PLAY,Navigating the Overworld with just Ninten,Keiichi Suzuki,NES,1989,https://youtu.be/J8rfFgsGfRI
2440,Best VGM 2440,Cosmic Star Heroine,Over The Edge,PS4,LEVEL,Nuluup Waterfall,HyperDuck SoundWorks,PC / PS4 / XB1 / Vita / Switch,2017,https://youtu.be/4ARzToGrWfk
2441,Best VGM 2441,Donkey Kong Country: Tropical Freeze,Alpine Incline: PEAKS,WIIU,PLAY,World 2: Autumn Heights ~ Stage 5: Alpine Incline ~ 2nd Half of the Level,David Wise,Wii U / Switch,2014,https://youtu.be/Wx-srPYt3vo
2442,Best VGM 2442,Jimmy and the Pulsating Mass,Motion Sickness,PC,PLAY,Homeflower Continent ~ Enemy Battles,Kasey Ozymy,PC,2018,https://youtu.be/hDDS1lU4yF0
2443,Best VGM 2443,Breath of Fire III,My Favourite Trick,PS1,LEVEL,Momo's Tower,Yoshino Aoki,PS1,1998,https://youtu.be/1UxQ0QknVQM
2444,Best VGM 2444,Captain Rainbow,Daytime 2,WII,PLAY,Exploring the Island at Daytime,Hirofumi Taniguchi,Wii,2008,https://youtu.be/5uV8j461QPw
2445,Best VGM 2445,CrossCode,Temple Mine,PC,LEVEL,Temple Mine,Deniz Akbulut,PC / Switch / PS4 / XB1,2018,https://youtu.be/Sk-BOKVNYbc
2446,Best VGM 2446,Pokémon Sword / Shield,Route 1,SWCH,LEVEL,Route 1,Minako Adachi & Go Ichinose,Switch,2019,https://youtu.be/U1xgGPRnvsc
2447,Best VGM 2447,Earthbound,Bad Dream / Opening Credits,SNES,SCENE,Game Over / Intro,Keiichi Suzuki & Hirokazu Tanaka,SNES,1995,https://youtu.be/h_oC0Sum4ME
2448,Best VGM 2448,Shovel Knight,The Buzz In The Grotto,8TH,LEVEL,King Of Cards DLC ~ Troupple Pond,Jake Kaufman,PC / Switch / PS4 / XB1 / 3DS / Etc.,2019,https://youtu.be/d0D4M4TdAZU
2449,Best VGM 2449,Mister Mosquito,Bossa 1,PS2,LEVEL,Stage 4: The Daughter in the Bathroom,Akihito Okawa,PS2,2001,https://youtu.be/K9jfPBhzf3U
2450,Best VGM 2450,The Legend of Zelda: Skyward Sword,Romance Is In The Air,WII,SCENE,Link & Zelda fly together after Link wins the Wing Ceremony at Skyloft,"Hajime Wakai, Koji Kondo, Mahito Yokota, Shiho Fujii & Takeshi Hama",Wii / Switch,2011,https://youtu.be/vfJx1--Q0SM
2451,[GOTY 2020 #10] Best VGM 2451,Hades,Out Of Tartarus,PC,PLAY,Starting Few Rooms of Tartarus,Darren Korb,PC / Switch,2020,https://youtu.be/4gH_rbE94ik
2452,[GOTY 2020 #9] Best VGM 2452,Animal Crossing: Island Horizons,7PM,SWCH,PLAY,Exploring the Island at 7-8PM,"Yasuaki Iwata, Shinobu Nagata, Masato Ohashi, Yumi Takahashi & Sayako Doi",Switch,2020,https://youtu.be/44BYXRRu8Kw
2453,[GOTY 2020 #8] Best VGM 2453,Mortal Shell,Deep Roots,8TH,PLAY,Eternal Narthax ~ Entrance,Atrium Carceri,PC / PS5 / XBS / PS4 / XB1,2020,https://youtu.be/2UsA2uNamrg
2454,[GOTY 2020 #7] Best VGM 2454,Art of Rally,Sprint,PC,PLAY,Main Gameplay,Tatreal,PC,2020,https://youtu.be/7fF1gPUAk68
