BGM#,SD Label,Game Title,Track Title,Console,Track Type,Location,Composers,Platform,Year of Release,Youtube URL
80,Best VGM 80,Final Fantasy IV,Boss Battle,SNES,BOSS,Boss Battles,Nobuo Uematsu,SNES,1991,https://youtu.be/I4Gfu0eZL4Q
81,Best VGM 81,Deep Labyrinth,Azure Cavern,DS,LEVEL,Azure Cavern,Yasunori Mitsuda,DS,2006,https://youtu.be/RhpGjpqyHes
82,Best VGM 82,The Legend of Zelda: Wind Waker,Dragon Roost,GC,LEVEL,Dragon Roost,Koji Kondo,GameCube,2003,https://youtu.be/d0dhTHp-XqI
83,Best VGM 83,Donkey Kong Country 2: Diddy's Kong Quest,Bayou Boogie,SNES,LEVEL,Barrel Bayou / Krockhead Klamber / Mudhole Marsh,David Wise,SNES,1995,https://youtu.be/9pB0AYVrSTo
84,Best VGM 84,Grandia,Parm Economy,SAT,LEVEL,Parm,Noriyuki Iwadare,PS1 / Saturn,1997,https://youtu.be/NJShjCYd6vk
85,Best VGM 85,Secret of Mana,Curious Tale,SNES,LEVEL,Southtown,Hiroki Kikuta,SNES,1993,https://youtu.be/azffGg-0ujA
86,Best VGM 86,Tribes: Starsiege,Glacier,PC,LEVEL,Glacier Stages,Timothy Steven Clarke,PC,2001,https://youtu.be/-ewjwkXkCXE
87,Best VGM 87,Breath of Fire II,My Home Sweet Home,SNES,LEVEL,Gate Village,Yuuko Takehara,SNES,1995,https://youtu.be/aBtR4-nKHKM
88,Best VGM 88,Dark Cloud,Wise Owl Forest,PS2,LEVEL,Wise Owl Forest,Tomohito Nishiura,PS2,2000,https://youtu.be/isU2Wvj4HoI
89,Best VGM 89,Mario Kart 64,Rainbow Road,N64,LEVEL,Rainbow Road,Kenta Nagata,N64,1997,https://youtu.be/n0x2_PweY_k
90,Best VGM 90,Castlevania,Wicked Child,NES,LEVEL,Stage 3,Kinuyo Yamashita,NES,1986,https://youtu.be/vQIEHHSMCQc
91,Best VGM 91,Comix Zone,Night Of The Mutants,GEN,LEVEL,Episode 1: Night Of The Mutants,Howard Drossin,Genesis,1995,https://youtu.be/gEu9cEJROg4
92,Best VGM 92,Chrono Cross,Another Marbule,PS1,LEVEL,Another World ~ Marbule,Yasunori Mitsuda,PS1,2000,https://youtu.be/R0XHHtU7GkY
93,Best VGM 93,Super Metroid,"Overgrown Vegetation, Brinstar",SNES,LEVEL,Brinstar ~ Overgrown Vegetation Sector,Kenji Yamamoto & Minako Hamano,SNES,1994,https://youtu.be/4mSva2puf_Y
94,Best VGM 94,Final Fantasy Tactics,Trisection,PS1,LEVEL,Orbonne Monastery (Tutorial Battle!) / Fort Zeakden (Defeat Algus!) / Goug Machine City (Negotiation!),Hitoshi Sakimoto,PS1 / PSP,1997,https://youtu.be/wjA_GpSuBQU
95,Best VGM 95,Mega Man ZX,Snake Eyes,DS,LEVEL,Slither Inc.,"Ippo Yamada, Ryo Kawakami & Masaki Suzuki",DS,2006,https://youtu.be/cu60QOEadFM
96,Best VGM 96,Live A Live,Wait For Truth,SNES,LEVEL,Near Future Chapter (Mecha Chapter),Yoko Shimomura,SNES,1994,https://youtu.be/R3FR6FbHDvU
97,Best VGM 97,Ys VI: Ark of Napishtim,Quatera Woods,PS2,LEVEL,Quatera Woods,Hayato Sonoda & Wataru Ishibashi,PS2 / PC,2003,https://youtu.be/t_QBgBlkTyU
98,Best VGM 98,Star Ocean III: Till The End Of Time,The Desolate Smell Of Earth,PS2,LEVEL,Whipple Village,Motoi Sakuraba,PS2,2003,https://youtu.be/TJ-TreNaCL4
99,Best VGM 99,Final Fantasy X,Between Ordeals,PS2,LEVEL,Trials,Nobuo Uematsu,PS2,2001,https://youtu.be/7uQi9plvKa0
100,Best VGM 100,Wild Arms,To A New Journey,PS1,SCENE,Ending,Michiko Naruke,PS1,1997,https://youtu.be/XLWL4TgZfpo
101,Best VGM 101,Lufia II,The Sinistrals,SNES,BOSS,"FINAL BOSSES ~ The Sinistrals: Gades, Amon, Erim & Daos",Yasunori Shiono,SNES,1995,https://youtu.be/gS0FMfbCqBU
102,Best VGM 102,Gitaroo Man,The Legendary Theme,PS2,PLAY,Stage 9: The Legendary Theme,COIL,PS2,2001,https://youtu.be/Tkf9zCY0-W8
103,Best VGM 103,Xenogears,My Village Is Number One!,PS1,LEVEL,Lah Village,Yasunori Mitsuda,PS1,1998,https://youtu.be/QuF09DVAqfI
104,Best VGM 104,Halo,Main Theme,XBX,THEME,Main Theme,Martin O'Donnell & Michael Salvatori,Xbox,2001,https://youtu.be/Z58uOftYmIU
105,Best VGM 105,Parasite Eve,Primal Eyes,PS1,SCENE,Intro,Yoko Shimomura,PS1,1998,https://youtu.be/YVMUwcvj1Sc
106,Best VGM 106,Journey to Silius,Space Colony Ruins,NES,LEVEL,Stage 1: Space Colony Ruins,Naoki Kodaka,NES,1990,https://youtu.be/sJgovZSC114
107,Best VGM 107,Ratchet & Clank,"Cliff Climb, Eudora",PS2,LEVEL,Eudora ~ Cliff Climb Sector,David Bergeaud,PS2,2002,https://youtu.be/gMdOhvvQxJ4
108,Best VGM 108,Donkey Kong Country 3: Dixie Kong's Double Trouble!,Treetop Tumble,SNES,LEVEL,Barrel Shield Bust-Up / Springing' Spiders / Ripsaw Rage / Sunken Spruce / Swoopy Salvo,Eveline Fischer,SNES,1996,https://youtu.be/QuRbRb1Kcew
109,Best VGM 109,Final Fantasy VI,Phantom Forest,SNES,LEVEL,Phantom Forest,Nobuo Uematsu,SNES,1994,https://youtu.be/QfRwo7KuCqY
110,Best VGM 110,GiFTPiA,staff,GC,THEME,Main Theme,Hirofumi Taniguchi & Yousuke Obitsumi,GameCube,2003,https://youtu.be/NBqrtYroUGY
111,Best VGM 111,Mystic Quest,Doom Castle,SNES,LEVEL,Doom Castle,Ryuji Sasai,SNES,1992,https://youtu.be/BZBlvZGsbYk
112,Best VGM 112,Metal Gear Solid 2: Sons of Liberty,Main Theme,PS2,THEME,Main Theme,Harry Gregson-Williams,PS2,2001,https://youtu.be/ZSoXL9HTgAs
113,Best VGM 113,Vay,Nice Day,SCD,LEVEL,Villages,Sakop,Sega CD,1993,https://youtu.be/IUk6_bWlK28
114,Best VGM 114,Castlevania: Return of Dracula,Forest Of Monsters,SNES,LEVEL,Stage 2-1: Forest Of Monsters,Masanori Adachi & Taro Kudou,SNES,1991,https://youtu.be/rdLZU4Wxe8I
115,Best VGM 115,Shadow Hearts: From the New World,Lady's Tears,PS2,BOSS,FINAL BOSS ~ Lady,Yoshitaka Hirota,PS2,2006,https://youtu.be/UmUamWSNkYY
116,Best VGM 116,Hot Rod,Main Theme,C64,THEME,Main Theme,Jeroen Tel,Commodore 64,1988,https://youtu.be/mFPi5A8XZ9Q
117,Best VGM 117,Yoshi's Island,Underground,SNES,LEVEL,Underground Stages,Koji Kondo,SNES,1995,https://youtu.be/tXbqXXlapkM
118,Best VGM 118,Xenosaga Episode III: Also Sprach Zarathrustra,Fifth Jerusalem,PS2,LEVEL,Fifth Jerusalem,Yuki Kajiura,PS2,2006,https://youtu.be/okXuoFwa2AU
119,Best VGM 119,Kingdom Hearts II,Sanctuary,PS2,SCENE,Opening,Utada Hikaru,PS2,2006,https://youtu.be/zP-UJ63Zjsg
120,Best VGM 120,Breath of Fire III,Can't You See Clearly Now?,PS1,LEVEL,The Farm / The Plant,Yoshino Aoki & Akari Kaida,PS1,1997,https://youtu.be/q9XEvlOAZ2U
121,Best VGM 121,Metroid,Kraid's Lair,NES,LEVEL,Kraid's Lair,"Hirokazu ""Hip"" Tanaka",NES,1986,https://youtu.be/U62l4uxb90M
122,Best VGM 122,Arc The Lad IV,Offense And Defense,PS2,PLAY,Enemy Battles,Yuko Fukushima,PS2,2003,https://youtu.be/MpkjBTk3ojI
123,Best VGM 123,Shin Megami Tensei III,Town Exorcism,PS2,PLAY,Towns ~ Enemy Battles,Shoji Meguro,PS2,2003,https://youtu.be/htRjeCBFHcg
124,Best VGM 124,Mega Man 4,Skull Man's Stage,NES,LEVEL,Skull Man's Stage,Minae Fujii,NES,1991,https://youtu.be/7VVtsMgXOGg
125,Best VGM 125,F-Zero GX,Deep Claw,GC,THEME,Octoman,Hidenori Shoji & Daiki Kasho,GameCube,2003,https://youtu.be/Dl6c55pclgg
126,Best VGM 126,Romancing SaGa 3,Boss Battle,SNES,BOSS,Boss Battles,Kenji Ito,SNES,1995,https://youtu.be/K3WkEDuskt8
127,Best VGM 127,Final Fantasy V,Clash On The Big Bridge,SNES,BOSS,Gilgamesh,Nobuo Uematsu,SNES,1992,https://youtu.be/NqfQDZDOZg8
128,Best VGM 128,Castlevania: Symphony of the Night,Lost Painting,PS1,LEVEL,Reverse Caverns / Anti-Chapel / Forbidden Library,Michiru Yamane,PS1,1997,https://youtu.be/pB0Q_nZsakY
129,Best VGM 129,Ragnarok Online 2,Din Don Dan Dan,PC,THEME,Technically Unused ~ Was removed in the Legend Of The Second Version,Yoko Kanno,PC,2007,https://youtu.be/7kP1cDwsfGg
130,Best VGM 130,Lagoon,Mark Philips Castle,SNES,LEVEL,Mark Philips Castle,Hideki Suzuki,SNES,1991,https://youtu.be/2FVeylPeWlA
131,Best VGM 131,Cannon Fodder,War Has Never Been So Much Fun,AGA,SCENE,Intro,Richard Josepj & Allister Brimble,Amiga CD32,1994,https://youtu.be/Kzgn8JRDIzw
132,Best VGM 132,Baten Kaitos,Chaotic Dance,GC,BOSS,"Chaotic Trio ~ Giacomo, Folon & Ayme",Motoi Sakuraba,GameCube,2003,https://youtu.be/8fYRxw_8P2g
133,Best VGM 133,Wild Arms 3,Scenery Called Everyday,PS2,LEVEL,Jolly Roger,Michiko Naruke,PS2,2004,https://youtu.be/QfuKDtIxBys
134,Best VGM 134,Chrono Trigger,Wind Scene,SNES,MENU,600 A.D. ~ World Map,Yasunori Mitsuda,SNES,1995,https://youtu.be/b4l-WmOmOuw
