BVGM#,SD Label,Game Title,Piece Title,Composer(s),Platform,Year of release,YouTube URL
2448,Best VGM 2448,Shovel Knight : King of Cards,The Buzz in the Grotto (Troupple Pond),Jake Kaufman,PC / Switch / PS4 / XB1 / 3DS / Etc.,2019,https://youtu.be/d0D4M4TdAZU
2449,Best VGM 2449,Mister Mosquito,Bossa Nova 1 (Stage 4),Akihito Okawa,PS2,2001,https://youtu.be/K9jfPBhzf3U
2450,Best VGM 2450,Zelda : Skyward Sword,Romance in the Air (Wing Ceremony Victory),"Hajime Wakai, Koji Kondo, Mahito Yokota, Shiho Fujii & Takeshi Hama",Wii / Switch,2011,https://youtu.be/vfJx1--Q0SM
2451,[GOTY 2020 #10] Best VGM 2451,Hades,Out of Tartarus,Darren Korb,PC / Switch,2020,https://youtu.be/4gH_rbE94ik
2452,[GOTY 2020 #9] Best VGM 2452,Animal Crossing : New Horizons,7 PM,"Yasuaki Iwata, Shinobu Nagata, Masato Ohashi, Yumi Takahashi & Sayako Doi",Switch,2020,https://youtu.be/44BYXRRu8Kw
2453,[GOTY 2020 #8] Best VGM 2453,Mortal Shell,Deep Roots,Atrium Carceri,PC / PS5 / XBS / PS4 / XB1,2020,https://youtu.be/2UsA2uNamrg
2454,[GOTY 2020 #7] Best VGM 2454,art of rally,Sprint,Tatreal,PC,2020,https://youtu.be/7fF1gPUAk68
2455,[GOTY 2020 #6] Best VGM 2455,Spiritfarer ,Last Voyage,Max LL,PC / Switch / PS4 / XB1,2020,https://youtu.be/aYvTpRVelok
2456,[GOTY 2020 #5] Best VGM 2456,Ori and the Will of the Wisps,Shriek and Ori,Gareth Coker,PC / XB1 / XBS / Switch,2020,https://youtu.be/jBJKb-Jj5pY
2457,[GOTY 2020 #4] Best VGM 2457,Immortals Fenyx Rising,Heart of the Hero,Gareth Coker,PC / Switch / PS5 / XBS / PS4 / XB1,2020,https://youtu.be/o1JBJ_WN-Vg
2458,[GOTY 2020 #3] Best VGM 2458,The Last of Us Part II,Chasing a Rumor,Gustavo Santaolalla,PS4,2020,https://youtu.be/jN2wftIK5ew
2459,[GOTY 2020 #2] Best VGM 2459,Final Fantasy VII Remake,Collapsed Expressway,Mitsuto Suzuki,PS4,2020,https://youtu.be/XXBu-lombqY
2460,[GOTY 2020 #1] Best VGM 2460,Black Mesa,Entangled,Joel Nielsen,PC,2020,https://youtu.be/XRuS7sqh-G8
2461,Best VGM 2461,Paper Mario : The Origami King,Origami Castle,"Yoshito Sekigawa, Shoh Murakami, Yoshiaki Kimura, Hiroki Morishita & Fumihiro Isobe",Switch,2020,https://youtu.be/sJX8kb8XHwE
2462,Best VGM 2462,The Morning Adventure : Mananitos Bollycao,Stages Theme,Alberto Jose Gonzalez,GBA,2003,https://youtu.be/4P4j1UNyvPE
2463,Best VGM 2463,Touch My Katamari,Katamari Exotica,Hiroyuki Kawada,Vita,2011,https://youtu.be/Bj5xy4NHRJE
2464,Best VGM 2464,Bomberman 64 : The Second Attack,Ocean Planet Aquanet,"Tomohiko Kira, Yasunori Mitsuda, Hidenobu Otsuki, Tomori Kudo, Hiroyo Yamanaka, Yoshitaka Hirota & Kenji Hiramatsu",N64,1999,https://youtu.be/m-EB3QmDcPw
2465,Best VGM 2465,Crime Crackers,Praying to the Sea of Stars,Noriyuki Asakura,PS1,1994,https://youtu.be/DAjDjml8JGc
2466,Best VGM 2466,Mega Man X,Opening Stage,Setsuo Yamamoto,SNES,1993,https://youtu.be/GaWM6j-11B8
2467,Best VGM 2467,Timespinner,Ancient Forest,Jeff Ball,PC / PS4 / Switch / XB1 / Vita,2018,https://youtu.be/D4ngRnxChzg
2468,Best VGM 2468,Rusty,Water Gate (Stage 6),"Masahiro Kajihara, Kenichi Arakawa & Ryu Takami",PC-98,1993,https://youtu.be/NAHKK9SoAWg
2469,Best VGM 2469,Part Time UFO,Treasure Island ~ Ruins,Megumi Ohara,Mobile / Switch,2017,https://youtu.be/FDZ0RgvouZY
2470,Best VGM 2470,Minecraft,Ward,C418,PC / Etc.,2011,https://youtu.be/vHm6xHFs51U
2471,Best VGM 2471,Sonic Adventure,Azure Blue World... for Emerald Coast,Jun Senoue,Dreamcast / GameCube / PC / X360 / PS3,1998,https://youtu.be/CZeVE4G3ngs
2472,Best VGM 2472,Evan's Remains,Whales,Matias Schmied,PC / Switch / PS4 / XB1,2020,https://youtu.be/8UVQfvJeOgQ
2473,Best VGM 2473,Yoshi's Woolly World,Wonderful World of Wool ~ World 2,"Tomoya Tomita, Misaki Asada & Kazumi Totaka",Wii U / 3DS,2015,https://youtu.be/8_mg_5Zh150
2474,Best VGM 2474,Ace of Seafood,Kraken,DEKU,PC / Switch / PS4 / Mobile,2016,https://youtu.be/z4eacV09j_k
2475,Best VGM 2475,Lufia II,Battle Theme #1,Yasunori Shiono,SNES,1995,https://youtu.be/FvdnVEv-SGc
2476,Best VGM 2476,Xenoblade Chronicles 2,Mor Ardain ~ Roaming the Wastes,Kenji Hiramatsu,Switch,2017,https://youtu.be/dpzYNq7EKcE
2477,Best VGM 2477,Prop Cycle,Cliff Rock [have a nap mix],Yoshie Arakawa,Arcade,1997,https://youtu.be/TLSgIPxcDQs
2478,Best VGM 2478,Castlevania : Circle of the Moon,Awake,Sotaro Tojima,GBA,2001,https://youtu.be/IwO0IYEZWf4
2479,Best VGM 2479,The Sims,Under Construction (Build 1),Jerry Martin,PC / PS2 / GameCube / Xbox,2000,https://youtu.be/fdkFQGu3nmo
2480,Best VGM 2480,New Pokemon Snap,Elsewhere Forest ~ Illumina Spot,Hiroki Hashimoto,Switch,2021,https://youtu.be/j1-kP60Of74
2481,Best VGM 2481,Dangerous Curves,Magic Touch ~ Complete Take,Hideki Takahagi,Arcade,1995,https://youtu.be/TwEeFcHMang
2482,Best VGM 2482,Super Adventure Island II,Hiya-Hiya Island,"Akihiro Akamatsu, Sachiko Oita & Shinji Nakaya",SNES,1994,https://youtu.be/m9AK2roNJlM
2483,Best VGM 2483,Contra : Shattered Soldier,Relic of Moirai,Akira Yamaoka,PS2,2002,https://youtu.be/4dKy_RU9uQA
2484,Best VGM 2484,Zelda II : The Adventure of Link,Overworld,Akito Nakatsuka,NES,1988,https://youtu.be/62ex75id7L4
2485,Best VGM 2485,Hollow Knight,Dirtmouth,Christopher Larkin,PC / Switch / PS4 / XB1,2017,https://youtu.be/MysJd6lBN2w
2486,Best VGM 2486,Chicory : A Colorful Tale,Supper Woods,Lena Raine,PC / PS5 / PS4,2021,https://youtu.be/CTckzSPUxaQ
2487,Best VGM 2487,Advance Wars,Nell's Theme,Taishi Senda,GBA,2001,https://youtu.be/oxcgCywGQak
2488,Best VGM 2488,Wario Land : Shake It!,Creep Blue Sea,Minako Hamano,Wii,2008,https://youtu.be/C3yR0iqZfjA
2489,Best VGM 2489,Benefactor,Merry Winterland (World 5),Olof Gustafsson,Amiga CD32,1994,https://youtu.be/r8AGGnr-3gI
2490,Best VGM 2490,13 Sentinels : Aegis Rim,-[DEOXYRIBOSE]-,Yoshimi Kudo,PS4,2020,https://youtu.be/ggDdPlIVlQU
2491,Best VGM 2491,Zone of the Enders : The Fist of Mars,Z.O.E. 2173,Tatsuya Fujiwara,GBA,2001,https://youtu.be/Cf9nEt7fJIg
2492,Best VGM 2492,Metroid Prime 2 : Echoes,Temple Grounds,Kenji Yamamoto,GameCube / Wii,2004,https://youtu.be/VhCDakHWGbc
2493,Best VGM 2493,Monster Hunter Rise,Narwa the Allmother,Satoshi Hori,Switch,2021,https://youtu.be/HWnoTh6216U
2494,Best VGM 2494,Ecco : The Tides of Time,Epilogue,Spencer Nilsen,Sega CD,1994,https://youtu.be/lu5SGnMVlPQ
2495,Best VGM 2495,Super Mario RPG,"Still, the Road is Full of Dangers",Yoko Shimomura,SNES,1996,https://youtu.be/JWPJFV37Kgs
2496,Best VGM 2496,Tales of Crestoria,Battle Theme #1,Takao Ogi,Mobile,2020,https://youtu.be/GTKyMMb6OBM
2497,Best VGM 2497,Yu-Gi-Oh! Legacy of the Duelist : Link Evolution,Deck Menu ~ Tag Force 4,"Tomoaki Hirono, Miki Murai, Atsushi Sato & Toshihisa Furusawa",PC / Switch / PS4 / XB1,2020,https://youtu.be/0zN2Itp-H1U
2498,Best VGM 2498,Deep Labyrinth,The Legendary Sword,Yasunori Mitsuda,DS / Mobile,2004,https://youtu.be/eBDYrBzcqo4
2499,Best VGM 2499,Phoenotopia : Awakening,Boss Battle,sillythewilly,PC / Switch,2020,https://youtu.be/eK21wvcyLmQ
2500,Best VGM 2500,Wii Sports,Golf / Boxing / Baseball / Bowling / Tennis Results,Kazumi Totaka,Wii,2006,https://youtu.be/Q5vCEzHtrQ0
2501,Best VGM 2501,Mario Artist : Paint Studio,Sea World Music Type 2,"Chris Jojo, Martin Goodall, Suddi Raval & Kazumi Totaka",64DD,1999,https://youtu.be/zG1UEa4zZLQ
2502,Best VGM 2502,Mighty Flip Champs !,World 3 (A Story of Caves),Jake Kaufman,DS / PSP / PS3,2009,https://youtu.be/fnw5yI34YjA
2503,Best VGM 2503,Granblue Fantasy Versus,The Prettiest Alchemist (Cagliostro's Theme),"Nobuo Uematsu, Yasunori Nishiki, Tsutomu Narita, Hidenori Maezawa, bassy, picnic, Nao Tokisawa, Azusa Chiba, Cygames & Johnny Kawahata",PS4 / PC,2020,https://youtu.be/A4zgyCowFe0
2504,Best VGM 2504,Pokemon Quest,Miasma Moor,"Teruo Tanigucho, Takahiro Eguchi, Fumihisa Tanaka & Shinji Hosoe",Switch / Mobile,2018,https://youtu.be/rM_uAARSNaI
2505,Best VGM 2505,Street Fighter III : 3rd Strike,You Blow My Mind (Dudley Stage),Hideki Okugawa,Arcade / Dreamcast / PS2 / Xbox,1999,https://youtu.be/-mL1jbZssJo
2506,Best VGM 2506,Donkey Kong Country 2,Primal Rave,David Wise,SNES,1995,https://youtu.be/unBTwSuhreg
2507,Best VGM 2507,iBlast Moki 2,Forest,Romain Gauthier,Mobile,2011,https://youtu.be/QqYgsoTxuos
2508,Best VGM 2508,Gran Turismo 4,From the East to the West,Isamu Ohira,PS2,2005,https://youtu.be/h1fTWjpCEI8
2509,Best VGM 2509,Kirby's Adventure ,Rainbow Resort,Hirokazu Ando & Jun Ishikawa,NES,1993,https://youtu.be/JXhmth3_yz8
2510,Best VGM 2510,Brigitte : Ern­­ährungsCoach,Daydreaming (Pause),Unknown,DS,2010,https://youtu.be/8g-p3Tip-AE
2511,Best VGM 2511,Ys SEVEN,Mother Earth Altago,Ryo Takeshita,PSP / PC,2009,https://youtu.be/tuPFXXfBK8o
2512,Best VGM 2512,Shadow the Hedgehog,Lost Impact,Jun Senoue,PS2 / GameCube / Xbox,2005,https://youtu.be/JO5EbXnwtRE
2513,Best VGM 2513,Shigesato Itoi's No. 1 Bass Fishing,Garbage Collecting,Tadashi Ikegami,SNES,1997,https://youtu.be/YZueuAIAQbs
2514,Best VGM 2514,Opoona,Ancient Ruins,Kimihiro Abe,Wii,2008,https://youtu.be/zl4NxkYRkk4
2515,Best VGM 2515,Ar Tonelico II,Legend Of Ar Tonelico II ~The Second Tower~,Ken Nakagawa,PS2,2007,https://youtu.be/XjShKMnG1lo
2516,Best VGM 2516,Paradise Killer,Paradise (Stay Forever),Barry Topping,Switch / PC,2020,https://youtu.be/0Uw_sxx73bQ
2517,Best VGM 2517,Thunder Force IV / Lightening Force: Quest for the Darkstar,Sand Hell (Stage 4-A),Takeshi Yoshida & Toshiharu Yamanishi,Genesis,1992,https://youtu.be/MYWR1pHpXOA
2518,Best VGM 2518,Castlevania : Harmony of Dissonance,Successor of Fate,Soshiro Hokkai,GBA,2002,https://youtu.be/izsfaVFSA4c
2519,Best VGM 2519,Pokemon Colosseum,Pyrite Town,Tsukasa Tawada,GameCube,2003,https://youtu.be/Yu_AEtwXw5c
2520,Best VGM 2520,Paladin's Quest,Naskuot Overworld's Theme,Kohei Tanaka,SNES,1992,https://youtu.be/9THCInlpOQ8
2521,Best VGM 2521,Zenses : Ocean,G2 Game,Manfred Linzner,DS,2008,https://youtu.be/rJoEShmfEtg
2522,Best VGM 2522,Psychonauts,Whispering Rock,Peter McConnell,PC / PS2 / Xbox,2005,https://youtu.be/pbNOXz7dIKM
2523,Best VGM 2523,Metroid,Norfair,Hirokazu Tanaka,NES,1986,https://youtu.be/n-f0MLTzlc8
2524,Best VGM 2524,Nickelodeon All-Star Braw,Technodrome Takedown,Mattias Hakulinen,PC / Switch / PS5 / XBS / PS4 / XB1,2021,https://youtu.be/wxVgVs94s7g
2525,Best VGM 2525,Anodyne 2,Longing,Sean Han Tani,PC / Switch / PS5 / XBS / PS4 / XB1,2019,https://youtu.be/ke2KQ0raxtY
2526,Best VGM 2526,Ridge Racer Type 4,Lucid Rhythms,Tetsukazu Nakanishi,PS1,1998,https://youtu.be/EcTKwrU83V4
2527,Best VGM 2527,Vertical Force,Stage 4,Shoji Tomii & Minoru Endo,Virtual Boy,1995,https://youtu.be/cKwN1o8XsXY
2528,Best VGM 2528,Silent Hill : Homecoming,The Terminal Show,Akira Yamaoka,X360 / PS3 / PC,2008,https://youtu.be/wG9GSHdOxfY
2529,Best VGM 2529,Monster Boy and the Cursed Kingdom,Deadwood Graveyard,Michiru Yamane,PC / Switch / PS4 / XB1,2018,https://youtu.be/XYWpAY7mrjE
2530,Best VGM 2530,OFF,Soft Breeze,Alias Conrad Coldwood,PC,2008,https://youtu.be/n_iUvb2zYaQ
2531,Best VGM 2531,Shadow Hearts,Coffin Fetish,Yasunori Mitsuda,PS2,2001,https://youtu.be/FyTnAW2VaP4
2532,Best VGM 2532,Evil Night,Stage 1 (Part 2) & Stage 4 (Path A),"Masayoshi Soken, Yasuhiro Ichihashi & Yuichi Takamine",Arcade,1998,https://youtu.be/dDMlc-ZNUO8
2533,Best VGM 2533,Super Mario Odyssey,Bonneton ~ Cap Kingdom,Shiho Fujii,Switch,2017,https://youtu.be/XAfv7jkdTeE
2534,Best VGM 2534,Baroque,One Foot in the Grave,Masaharu Iwata,Saturn / PS1 / Switch,1998,https://youtu.be/-2CeyCXlEpw
2535,Best VGM 2535,Castlevania 64 / Legacy of Darkness,Watchtower,"Masahiko Kimura, Motoaki Furukawa & Maiko Egawa",N64,1999,https://youtu.be/M0CRbTvsZbQ
2536,Best VGM 2536,Sonic Adventure 2,A Ghost's Pumpkin Soup... for Pumpkin Hill,Tomoya Ohtani & Hunnid-P,Dreamcast / GameCube,2001,https://youtu.be/l4mBrH_DSeI
2537,Best VGM 2537,Ride Zero,Apocalypse,M2U x NICODE & Lucy,Mobile,2019,https://youtu.be/PF_yMabxQsA
2538,Best VGM 2538,Breath of Fire,Ancient Ruins,Yasuaki Fujita,SNES,1994,https://youtu.be/CVtqEaZ6Ze8
2539,Best VGM 2539,Robots,Jack Hammer,Ian Stocker,GBA,2005,https://youtu.be/54-_9iDBdFY
2540,Best VGM 2540,Elebits,An Elebit State of Mind?!,Naoyuki Sato & Michiru Yamane,Wii,2006,https://youtu.be/7uCrxdVj0S4
2541,Best VGM 2541,Bubble and Squeak,Lagoon,Allister Brimble,Genesis,1994,https://youtu.be/RHITtTpdUNE
2542,Best VGM 2542,Zelda : Breath of the Wild,Korok Forest (Day),Manaka Kataoka & Yasuaki Iwata,Switch / Wii U,2017,https://youtu.be/AQjA54oYZQA
2543,Best VGM 2543,Fin Fin on Teo the Magic Planet,Wonder TEO,Chuji Akagi & Mishio Ogawa,PC,1996,https://youtu.be/-77EpAoGucY
2544,Best VGM 2544,Mega Man 2,Wood Man Stage,Takashi Tateishi,NES,1989,https://youtu.be/Ww-OipwzLxw
2545,Best VGM 2545,Fantavision,Into Space ~ Stage 3,Ashif Hakik,PS2,2000,https://youtu.be/iFisJiUAd8c
2546,Best VGM 2546,Soma Bringer,"Ordital, the Mobile City",Yasunori Mitsuda,DS,2008,https://youtu.be/9d_EVBqRhjU
2547,Best VGM 2547,Wild Arms 3,Gunmetal Action (Battle Theme),Michiko Naruke,PS2,2002,https://youtu.be/PFY_dCZCfYo
2548,Best VGM 2548,Skies of Arcadia,Yafutoma Dawn,Takayuki Maeda,Dreamcast / GameCube,2000,https://youtu.be/2jyFe0PVJow
2549,Best VGM 2549,Shadowgate 64: Trials of the Four Towers,Lakmir's Tower,Saori Kobayashi,N64,1999,https://youtu.be/VGslydprLCc
2550,Best VGM 2550,New Roommania: Porori Seishun,Where is Smiley?,Serani Poji,PS2,2003,https://youtu.be/WsZfGVKc7dk
2551,Best VGM 2551,Klonoa 2 : Lunatea's Veil,Path to Goddess Claire,Kanako Kakino,PS2,2001,https://youtu.be/Akm1NFEMgW0
2552,Best VGM 2552,Donkey Kong Country : Tropical Freeze,Alpine Incline ~ Lowlands,David Wise,Wii U / Switch,2014,https://youtu.be/ePA9yX9AStQ
2553,Best VGM 2553,Mitsume Ga Tooru,Stage 1-2,Hiroyuki Iwatsuki,NES,1992,https://youtu.be/O-nYd1XIPJc
2554,Best VGM 2554,Madagascar Kartz,Championship 3B,Rod Abernethy,Wii / PS3 / X360,2009,https://youtu.be/KesjD-5lz9c
2555,Best VGM 2555,Suikoden II,Let's Climb That Hill (Muse City),Miki Higashino,PS1,1999,https://youtu.be/7Ls7ZgoMX1Q
2556,Best VGM 2556,Snowboard Kids Plus,Night Highway,Isao Kasai & Tomohiko Satou,PS1,1999,https://youtu.be/A1lLmUxM_KY
2557,Best VGM 2557,Star Wars : Shadows of the Empire,Asteroid Field,Joel McNeely,N64 / PC,1996,https://youtu.be/ecHpsGS6MDU
2558,Best VGM 2558,Final Fantasy Tactics,Antidote,Hitoshi Sakimoto,PS1 / PSP,1997,https://youtu.be/H5cUqDt7MqE
2559,Best VGM 2559,Pokemon Red / Blue / Yellow / Green,Cerulean City,Junichi Masuda,Gameboy,1996,https://youtu.be/Lpz1-jpgrNo
2560,Best VGM 2560,CrossCode,Bergen Village,Deniz Akbulu,PC / Switch / PS4 / XB1,2018,https://youtu.be/WdWfXGtgvE0
2561,Best VGM 2561,Animal Crossing : New Leaf,Toy Day,"Manaka Kataoka, Atsuko Asahi & Kazumi Totaka",3DS,2012,https://youtu.be/-VZTDKts5ec
2562,Best VGM 2562,World of Warcraft,Elwynn Forest,"Jason Hayes, Tracy Bush, Derek Duke & Glenn Stafford",PC,2004,https://youtu.be/r_SbVSpdKRY
2563,Best VGM 2563,Donkey Kong Country 3,Northern Kremisphere,Eveline Fischer,SNES,1996,https://youtu.be/zRY1-uq1RFs
2564,Best VGM 2564,Super Mario 64,File Select,Koji Kondo,N64 / NDS,1996,https://youtu.be/-yIHfZZOs_Y
2565,Best VGM 2565,Shenmue,Memories of Distant Days,Osamu Murata,Dreamcast,1999,https://youtu.be/SAVKpW5YjxA
2566,Best VGM 2566,Columns III,Column Dive,Morihiko Akiyama,Genesis,1993,https://youtu.be/MOuofLrmfPw
2567,Best VGM 2567,Mushihimesama Futari,Sea of Frozen Crystals ~ Stage 2,Kimihiro Abe,Arcade / X360 / Mobile,2007,https://youtu.be/9ABdJw_vndM
2568,Best VGM 2568,Mario Kart 8,Sunshine Airport,Atsuko Asahi,Wii U / Switch,2014,https://youtu.be/05LOFKPwrZY
2569,Best VGM 2569,Lost Judgement,Dig In Your Heels,83key & Chihiro Aoki,PS5 / XBS / PS4 / XB1,2021,https://youtu.be/2E73QohdX70
2570,Best VGM 2570,Legend of Dragoon,Wingly City,Dennis Martin,PS1,2000,https://youtu.be/Mn_qEM6HIe0
2571,Best VGM 2571,Kirby Air Ride,Sky Sands,Shogo Sakai,GameCube,2003,https://youtu.be/4G44eP_HZok
2572,Best VGM 2572,Christiane Stengers Gedächtnis-Coach,Test,???,DS,2012,https://youtu.be/7DPUWY-Qydg
2573,Best VGM 2573,Rune Factory Frontier,Whale Island (Outside),Tomoko Morita,Wii,2008,https://youtu.be/Qmwc2XM-MXs
2574,Best VGM 2574,Pilotwings,Hang Glider,Soyo Oka,SNES,1990,https://youtu.be/QEe25A3gSfs
2575,Best VGM 2575,Star Ocean 4 : The Last Hope,Blood on the Keys,Motoi Sakuraba,X360 / PS3 / PS4 / PC,2009,https://youtu.be/jlhgsRXpCtY
2576,Best VGM 2576,Doshin the Giant,The Island of Memory,Tatsuhiko Asano,64DD / GameCube,1999,https://youtu.be/J3aG06X2UyQ
2577,Best VGM 2577,Hyper Iria,Tower,"Kiyotaka Satou, Shintarou Hirakawa & Nobuhiro Makino",SNES,1995,https://youtu.be/6Vce-7q-GPY
2578,Best VGM 2578,Zelda : Twilight Princess,Forest Temple,"Toru Minegishi, Asuka Ohta, Koji Kondo & Mahito Yokota",GameCube / Wii / Wii U,2006,https://youtu.be/Y7EH02Mrc4A
2579,Best VGM 2579,Iridion 3D,Dogfight Above The Pacific Ocean (Stage 2),Manfred Linzner,GBA / PC,2001,https://youtu.be/bfAs3UGBeKg
2580,Best VGM 2580,Celeste,Confronting Myself,Lena Raine,PC / Switch / PS4 / XB1,2018,https://youtu.be/nohwgWqzR1M
2581,Best VGM 2581,Croc 2,Inca Village ~ Hub,Kinuyo Yamashita & Iku Mizutani,Game Boy Color,2001,https://youtu.be/QgSrLvVsjHg
2582,Best VGM 2582,Paper Mario : The Thousand Year Door,X-Naut Fortress,Yoshito Hirano & Yuka Tsujiyoko,GameCube,2004,https://youtu.be/jbSHnFsZoiw
2583,Best VGM 2583,Bug Fables,Store That Honey,Tristan Alric,PC / Switch / PS4 / XB1,2019,https://youtu.be/8lMIEz_M77Q
2584,Best VGM 2584,Environmental Station Alpha,Spinning Dandelion,Roope Makinen,PC,2015,https://youtu.be/FUyDajm_m9I
2585,Best VGM 2585,Death's Door,The Stranded Sailor,David Fenn,PC / Switch / PS5 / XBS / PS4 / XB1,2021,https://youtu.be/IDqgYC5rJJM
2586,Best VGM 2586,Loop Hero,Loop Blues (Expedition 4),Aleksandr Goreslavets,PC / Switch,2021,https://youtu.be/t0M7up8Pd4Y
2587,Best VGM 2587,It Takes Two,Audio Surf,Gustaf Grefberg,PC / PS5 / XBS / PS4 / XB1,2021,https://youtu.be/i2pAeLYYewU
2588,Best VGM 2588,Metroid Dread,Cataris,"Kenji Yamamoto, Soshi Abe & Sayako Doi",Switch,2021,https://youtu.be/4emAMSzaPnA
2589,Best VGM 2589,Everhood ,Feisty Flowers,Cazok,PC / Switch,2021,https://youtu.be/MvUfkxaXKMU
2590,Best VGM 2590,Chicory : A Colorful Tale,Gulp Swamp,Lena Raine,PC / PS5 / PS4 / Switch,2021,https://youtu.be/ichQ7yWLSp4
2591,Best VGM 2591,Inscryption,The Scrybe of Magicks,Jonah Senzel,PC,2021,https://youtu.be/Mpsq2lzAtlA
2592,Best VGM 2592,Sable,The Ewer (Day),Japanese Breakfast,PC / XBS / XB1,2021,https://youtu.be/kNLuesB1Efg
2593,Best VGM 2593,Ocean's Heart,Spruce Head,Max Mraz,PC / Switch,2021,https://youtu.be/i6O9rqjCEj8
2594,Best VGM 2594,Ender Lilies : Quietus of the Knights,North,Mili,PC / Switch / PS5 / XBS / XB1,2021,https://youtu.be/zfdmRoZsWrc
2595,Best VGM 2595,Pop'n Music 8,Silent Green,Yukie Sasara & Yoichi Hayashi,Arcade / PS2,2002,https://youtu.be/m1jhgVr_kvc
2596,Best VGM 2596,Sonic Lost World,Yoshi's Island Zone,Tomoya Ohtani,Wii U,2013,https://youtu.be/LBYitRnoJWs
2597,Best VGM 2597,Lufia,Port Town,"Naomi Kuroda, Aki Zaitsu & Yasunori Shiono",SNES,1993,https://youtu.be/fL14xg0LBV0
2598,Best VGM 2598,Braid,Downstream,Shira Kammen,PC / X360 / PS3,2008,https://youtu.be/aKUC54VMwtQ
2599,Best VGM 2599,Castlevania : Lament of Innocence,Ghostly Theater,Michiru Yamane,PS2,2003,https://youtu.be/-IVrApzUCps
2600,Best VGM 2600,Shadow Hearts,NDE ~ Near Death Experience (Europe Battle Theme),Yoshitaka Hirota,PS2,2001,https://youtu.be/sPcbjnDNdMs
2601,Best VGM 2601,Ecco the Dolphin,Aqua Vistas,Spencer Nilsen,Sega CD,1993,https://youtu.be/IrakCBaxh4c
2602,Best VGM 2602,Fez,Knowledge,Disasterpeace,X360 / PC / PS3 / PS4 / Vita / Switch / Mobile,2012,https://youtu.be/4Aolg24Nk4s
2603,Best VGM 2603,Dark Cloud 2,Palm Brinks,Tomohito Nishiura,PS2,2004,https://youtu.be/QRkk9r7tfgs
2604,Best VGM 2604,Chulip,A Single Guy's Serenade,Hirofumi Taniguchi,PS2,2002,https://youtu.be/r7jVXJLGbrI
2605,Best VGM 2605,Baten Kaitos,Valley of the Wind,Motoi Sakuraba,GameCube,2003,https://youtu.be/64IQtaNxzgY
2606,Best VGM 2606,Nakajima Satoru F-1 Hero '94,Track 02,Yusuke Takahama,SNES,1994,https://youtu.be/URCAojWJbGY
2607,Best VGM 2607,Dragon Ball Z : The Legacy of Goku II,Tropical Island,Yannis Brown,GBA,2003,https://youtu.be/jMYiyNNogYc
2608,Best VGM 2608,Even the Ocean,Overworld of Even the Ocean,Sean Han Tani,PC / Switch,2016,https://youtu.be/Lqx_d1M5JGc
2609,Best VGM 2609,Killer Instinct 2 (Gold),Gargos,Robin Beanland,Arcade / N64 / XB1,1996,https://youtu.be/dbRQdLjf2Jg
2610,Best VGM 2610,Karnaaj Rally,Title Theme,Jake Kaufman,GBA,2003,https://youtu.be/6n0-0_hnFNk
2611,Best VGM 2611,Zelda : A Link to the Past,Opening Demo,Koji Kondo,SNES / GBA,1992,https://youtu.be/NMXB7Begzbw
2612,Best VGM 2612,Jimmy and the Pulsating Mass,Rainy Sunday,Kasey Ozymy,PC,2018,https://youtu.be/fvcOwdlvxEg
2613,Best VGM 2613,Etrian Odyssey IV,Labyrinth IV ~ Library of Puppets,Yuzo Koshiro,3DS,2012,https://youtu.be/hF4Uv-Xdto4
2614,Best VGM 2614,Jazz Jackrabbit 3,Learning Curve,Alexander Brandon,PC,Cancelled,https://youtu.be/Zyq9mHVOExA
2615,Best VGM 2615,Minecraft,Rubedo,Lena Raine,PC / Etc.,2011,https://youtu.be/QaynIRuqiZE
2616,Best VGM 2616,1000 Cooking Recipes from Elle à Table,Title Theme,Kazumi Totaka,DS,2010,https://youtu.be/t33g_KBTmM0
2617,Best VGM 2617,Shinobi III,Idaten,"Hirofumi Murasaki, Masayuki Nagao & Morihiko Akiyama",Genesis,1993,https://youtu.be/ViWHZ2cTLSo
2618,Best VGM 2618,Perfect Dark,Carrington Villa ~ Hostage One,Grant Kirkhope & David Clynick,N64 / X360,2000,https://youtu.be/yhLJVTrKV2A
2619,Best VGM 2619,Deltarune,Field of Hopes and Dreams,Toby Fox,PC / Switch,2018,https://youtu.be/iWvYsvqrGJ0
2620,Best VGM 2620,Fight Crab,Crab Pulsar (SuperNova mix),DEKU,PC / Switch / Mobile,2020,https://youtu.be/oSSn5BQXTEQ
2621,Best VGM 2621,Eastward,Black Train,Joel Corelitz,PC / Switch,2021,https://youtu.be/ShWk0JLA3Sk
2622,Best VGM 2622,Ace Combat 3 : Electrosphere,Transparent Blue,Tetsukazu Nakanishi,PS1,1999,https://youtu.be/jrrbyCLc9ow
2623,Best VGM 2623,Ristar,Dancing Leaves (Round 1-2),Tomoko Sasaki,Genesis,1995,https://youtu.be/KdkLBShUE2c
2624,Best VGM 2624,Persona 3,Want To Be Close,Shoji Meguro,PS2,2006,https://youtu.be/3mc01pSVRTw
2625,Best VGM 2625,Henry Hatsworth in the Puzzling Adventure,Banson's Aria,Gene Rozenberg,DS,2009,https://youtu.be/5riMyCMNUGo
2626,Best VGM 2626,Super Mario Galaxy 2,The Starship Travels,Mahito Yokota,Wii,2010,https://youtu.be/_EpfMU_5-Hc
2627,Best VGM 2627,Xanadu Next,The Eternal Maze,Falcom Sound Team jdk,PC,2005,https://youtu.be/jzd3IBkpUZo
