BVGM#,SD Label,Game Title,Piece Title,Composer(s),Platform,Year of release,YouTube URL
104,Best VGM 104,Halo,Main Theme,Martin O'Donnell & Michael Salvatori,Xbox,2001,https://youtu.be/Z58uOftYmIU
105,Best VGM 105,Parasite Eve,Primal Eyes (Intro),Yoko Shimomura,PS1,1998,https://youtu.be/YVMUwcvj1Sc
106,Best VGM 106,Journey to Silius,Stage 1 (Space Colony Ruins),Naoki Kodaka,NES,1990,https://youtu.be/sJgovZSC114
107,Best VGM 107,Ratchet & Clank,Eudora Logging Site,David Bergeaud,PS2,2002,https://youtu.be/gMdOhvvQxJ4
108,Best VGM 108,Donkey Kong Country 3,Treetop Tumble,Eveline Fischer,SNES,1996,https://youtu.be/QuRbRb1Kcew
109,Best VGM 109,Final Fantasy VI,The Phantom Forest,Nobuo Uematsu,SNES,1994,https://youtu.be/QfRwo7KuCqY
110,Best VGM 110,Giftpia,Opening,Hirofumi Taniguchi & Yousuke Obitsumi,GameCube,2003,https://youtu.be/NBqrtYroUGY
111,Best VGM 111,Final Fantasy Mystic Quest,Last Castle,Ryuji Sasai,SNES,1992,https://youtu.be/BZBlvZGsbYk
112,Best VGM 112,Metal Gear Solid 2,Main Theme,Harry Gregson-Williams,PS2,2001,https://youtu.be/ZSoXL9HTgAs
113,Best VGM 113,Vay,Village,Sakop,Sega CD,1993,https://youtu.be/IUk6_bWlK28
114,Best VGM 114,Super Castlevania IV,The Forest of Monsters,Masanori Adachi & Taro Kudou,SNES,1991,https://youtu.be/rdLZU4Wxe8I
115,Best VGM 115,Shadow Hearts III : From the New World,Lady Tears II (Final Battle),Yoshitaka Hirota,PS2,2006,https://youtu.be/UmUamWSNkYY
116,Best VGM 116,Hot Rod,Main Theme,Jeroen Tel,Commodore 64,1988,https://youtu.be/mFPi5A8XZ9Q
117,Best VGM 117,Yoshi's Island,Underground Theme,Koji Kondo,SNES,1995,https://youtu.be/tXbqXXlapkM
118,Best VGM 118,Xenosaga III,Fifth Jerusalem,Yuki Kajiura,PS2,2006,https://youtu.be/okXuoFwa2AU
119,Best VGM 119,Kingdom Hearts II,Sanctuary,Utada Hikaru,PS2,2006,https://youtu.be/zP-UJ63Zjsg
120,Best VGM 120,Breath of Fire III,Farm,Yoshino Aoki & Akari Kaida,PS1,1997,https://youtu.be/q9XEvlOAZ2U
121,Best VGM 121,Metroid,Kraid's Lair,"Hirokazu ""Hip"" Tanaka",NES,1986,https://youtu.be/U62l4uxb90M
122,Best VGM 122,Arc the Lad IV : Twilight of the Spirits,Offense and Defense,Yuko Fukushima,PS2,2003,https://youtu.be/MpkjBTk3ojI
123,Best VGM 123,Shin Megami Tensei III : Nocturne,Normal Battle ~ Town,Shoji Meguro,PS2,2003,https://youtu.be/htRjeCBFHcg
124,Best VGM 124,Mega Man 4,Skull Man Stage,Minae Fujii,NES,1991,https://youtu.be/7VVtsMgXOGg
125,Best VGM 125,F-Zero GX,Octoman's Theme,Hidenori Shoji & Daiki Kasho,GameCube,2003,https://youtu.be/Dl6c55pclgg
126,Best VGM 126,Romancing Saga 3,Boss Battle,Kenji Ito,SNES,1995,https://youtu.be/K3WkEDuskt8
127,Best VGM 127,Final Fantasy V,Clash on the Big Bridge (Battle vs Gilgamesh),Nobuo Uematsu,SNES,1992,https://youtu.be/NqfQDZDOZg8
128,Best VGM 128,Castlevania : Symphony of the Night,Lost Painting,Michiru Yamane,PS1,1997,https://youtu.be/pB0Q_nZsakY
129,Best VGM 129,Ragnarok Online 2 : The Gate of the World,Din Don Dan Dan Non Monstr,Yoko Kanno,PC,2007,https://youtu.be/7kP1cDwsfGg
130,Best VGM 130,Lagoon,Philips Castle,Hideki Suzuki,SNES,1991,https://youtu.be/2FVeylPeWlA
131,Best VGM 131,Cannon Fodder,Opening,Richard Josepj & Allister Brimble,Amiga CD32,1994,https://youtu.be/Kzgn8JRDIzw
132,Best VGM 132,Baten Kaitos,Chaotic Dance,Motoi Sakuraba,GameCube,2003,https://youtu.be/8fYRxw_8P2g
133,Best VGM 133,Wild Arms 3,Scenery Called Everyday,Michiko Naruke,PS2,2004,https://youtu.be/QfuKDtIxBys
134,Best VGM 134,Chrono Trigger,Wind Scene,Yasunori Mitsuda,SNES,1995,https://youtu.be/b4l-WmOmOuw
135,Best VGM 135,Contact,Free Time,Jun Fukuda & Masafumi Takeda,DS,2006,https://youtu.be/s4swxdYb5u0
136,Best VGM 136,Legaia 2,Lost Forest,Hitoshi Sakimoto,PS2,2002,https://youtu.be/f22THZbhCI8
137,Best VGM 137,Plok,Beach,Geoff Follin & Tim Follin,SNES,1993,https://youtu.be/9nA-x0DbSVY
138,Best VGM 138,Extreme-G,Devil Speed Unborn,Simon Robertson & Stephen Root,N64,1997,https://youtu.be/PVboyGI1sc4
139,Best VGM 139,Mario Kart 64,Toad's Turnpike,Kenta Nagata,N64,1997,https://youtu.be/V287Q24-drw
140,Best VGM 140,Shadow Hearts II : Covenant,Town of Twilight,Yasunori Mitsuda,PS2,2004,https://youtu.be/sn4wVle1uQo
141,Best VGM 141,Civilization IV,Baba Yetu,Christopher Tin,PC,2005,https://youtu.be/Fa91Avn6TrU
142,Best VGM 142,Final Fantasy VII,Cosmo Canyon,Nobuo Uematsu,PS1,1997,https://youtu.be/oKN3lY8RrkA
143,Best VGM 143,Castlevania : Portrait of Ruin,The Gears Go Awry,Yuzo Koshiro,DS,2006,https://youtu.be/PSzI7mgfdiQ
