SD BVGM #,First Eng Title,Stylish Game Title,Track Title,Console,Track Type,Location,,
136,Legaia 2,Legaia 2,Lost Forest,PS2,LEVEL,Forest Maze,,
137,Plok,Plok,Beach,SNES,LEVEL,World 2: Akrillic Island ~ Stage 1: Garllen Beach,,
138,Extreme-G,Extreme-G,Devil Speed Unborn,N64,THEME,Main Theme,,
139,Mario Kart 64,Mario Kart 64,Toad's Turnpike,N64,LEVEL,Toad's Turnpike,,
140,Shadow Hearts: Covenant,Shadow Hearts II,Town Of Twilight,PS2,LEVEL,Paris / Southampton,,
141,Civilization IV,Civilization IV,Baba Yetu,PC,MENU,Main Menu,,
142,Final Fantasy VII,Final Fantasy VII,Cosmo Canyon,PS1,LEVEL,Cosmo Canyon,,
143,Castlevania: Portrait of Ruin,Castlevania: Portrait of Ruin,The Gears Go Awry,DS,LEVEL,Tower Of Death,,
144,Snowboard Kids,Snowboard Kids,Big Snowman,N64,LEVEL,Big Snowman,,
145,Silent Hill: Origins,Silent Hill: Origins,O.R.T.,PSP,THEME,Main Theme,,
146,Donkey Kong Country,DK Country: Donkey's Kong Caper,Fear Factory,SNES,LEVEL,Oil Drum Alley / Blackout Basement,,
147,Shin Megami Tensei: Digital Devil Saga 2,Shin Megami Tensei: Digital Devil Saga 2,Divine Entity,PS2,BOSS,FINAL BOSS ~ Brahman,,
148,Golden Sun,Golden Sun,Kolima Forest,GBA,LEVEL,Kolima Forest / Mogall Forest,,
149,Lufia,Lufia,Fortress Of Doom,SNES,LEVEL,Fortress Of Doom,,
150,Ridge Racer 10,Ridge Racer 10,Blue Topaz Remix,PSP,PLAY,Main Gameplay,,
151,Guardian's Crusade,Guardian's Crusade,Opening,PS1,SCENE,Opening,,
152,Tales of Symphonia,Tales of Symphonia,Town Of Wind And Ruins,GC,LEVEL,Asgard,,
153,Mega Man 2,Mega Man 2,Wily's Castle,NES,LEVEL,Wily's Castle (Wily's Stage 1 & 2),,
154,The World Ends With You,The World Ends With You,O-Parts,DS,BOSS,Metal Corehog / Tigris Cantus,,
