BVGM#,Label,Piece Title,Franchise,Game Title,Year of release,YouTube URL
1714,#1714,Program Rhythm,Kirby,Kirby: Planet Robobot,2016,https://youtu.be/YyjWx7mDv0Q
1713,#1713,Ghaele Heim,Ittle Dew,Ittle Dew 2+,2016,https://youtu.be/gwRnY303bIs
1712,#1712,Desierto Caliente,Guacamelee!,Guacamelee!,2013,https://youtu.be/Y3abPS9oRBs
1711,#1711,Sunset Town,SaGa,SaGa Frontier,1997,https://youtu.be/mLWq0_VaRMM
1710,#1710,Gloomy Tune,Aladdin,Aladdin,1993,https://youtu.be/XOf4LwE4CaU
1709,#1709,Holy Wind,Rune Factory,Rune Factory 4,2012,https://youtu.be/gIkiZjJB3Zw
1708,#1708,Main Theme,Mortal Kombat,Mortal Kombat,1993,https://youtu.be/yGsOBrobg6o
1707,#1707,Majora's Incarnation,Zelda,Majora's Mask,2000,https://www.youtube.com/watch?v=4VY6qd_wtX8
1706,#1706,Cornelia Castle,Final Fantasy,Final Fantasy,1987,https://youtu.be/RmaMcA1OZFs
1705,#1705,Recreation,The Swapper,The Swapper,2013,https://youtu.be/JszEWmCJk0A
1704,#1704,What Lies Beneath,Yoku's Island Express,Yoku's Island Express,2018,https://youtu.be/0NKEuIS7cNM
1703,#1703,Tears of…,Silent Hill,Silent Hill,1999,https://youtu.be/D6CfkK2RCtg
1702,#1702,Teehee Valley,Paper Mario & Luigi,Mario & Luigi: Superstar Saga,2003,https://youtu.be/763x6PRHPPk
1701,#1701,Whittleton Village,Zelda,Sprit Tracks,2009,https://youtu.be/3sHGBjR4q7E
1700,#1700,The Red Carpet,World of Goo,World of Goo,2008,https://www.youtube.com/watch?v=3mf5ovuuzIA
1699,#1699,Butsutekkai,Ikaruga,Ikaruga,2002,https://youtu.be/ly1ArNo81rE
1698,#1698,Tower of Death,Dragon Quest,Dragon Quest V,1992,https://youtu.be/xmQS-IEKD2k
1697,#1697,The Incredible Drivy Runn,Neverhood,Skullmonkeys,1998,https://youtu.be/mnJhjAhsp0g
1696,#1696,Blizzard Man,Mega Man,Mega Man 6,1993,https://youtu.be/jSF3kg-pAf4
1695,#1695,Death Race,F-Zero,F-Zero X,1998,https://youtu.be/C3icx1AwQPM
1694,#1694,Laura Plays the Piano,Silent Hill,Silent Hill 2,2001,https://youtu.be/1mT_QVrbKOk
1693,#1693,Locke,Final Fantasy,Final Fantasy VI,1994,https://youtu.be/3s56dCSDrIs
1692,#1692,Stage 4,Journey to Silius,Journey to Silius,1990,https://youtu.be/Fmjzx5QJJEQ
1691,#1691,Triangle Square,Neverhood,The Neverhood,1996,https://youtu.be/L3kBPQXYJ0Q
1690,#1690,Stage Select,Snake Pass,Snake Pass,2017,https://youtu.be/_iG6Xq-OW3k
1689,#1689,Roper (Stage 3),Battletoads,Battletoads & Double Dragon,1993,https://youtu.be/fiTvx-1-hS0
1688,#1688,Carrick Point,Blast Corps,Blast Corps,1997,https://www.youtube.com/watch?v=2kykKnTB7Ic
1687,#1687,Isle O' Hags,Banjo,Banjo-Tooie,2000,https://www.youtube.com/watch?v=d-XcdMva8vA
1686,#1686,Menu Music,Smash Bros,Smash Bros Melee,2001,https://youtu.be/eFaYPKMi0Sk
1685,#1685,Me and My Little War,Elebits,Elebits,2006,https://youtu.be/AidCpKYbzno
1684,#1684,New Donk City - Night 2,Super Mario,Super Mario Odyssey,2017,https://youtu.be/-OG0lGwz50w
1683,#1683,Legendary Ghost,Cuphead,Cuphead,2017,https://youtu.be/VEYsQEdBZWs
1682,#1682,Rain of Brass Petals,Silent Hill,Silent Hill 3,2003,https://youtu.be/KDHnq_8LWY0
1681,#1681,Miners and Climbers,Lemmings,Lemmings,1991,https://youtu.be/81T6FMgBeF0
1680,#1680,Cliffs of Fun,Jelly Defense,Jelly Defense,2011,https://www.youtube.com/watch?v=FbL0E-IDRqk
1679,#1679,Bone Dungeon,Mana,Final Fantasy Mystic Quest,1992,https://www.youtube.com/watch?v=8GF03gQ2Mg0
1678,#1678,Ruins,Undertale,Undertale,2015,https://youtu.be/wrlO2IGxbAA
1677,#1677,Dissociative Identity,Killer7,Killer7,2005,https://youtu.be/11vTMODHTQQ
1676,#1676,Ayla Killing Spree,Awesomenauts,Awesomenauts,2012,https://youtu.be/UlfopW2M-AQ
1675,#1675,Les Deux Vendredis,Sang-Froid,Sang-Froid,2013,https://youtu.be/cR9DuwVIkQk
1674,#1674,"Run, Jump, Throw! 2",Super Mario,Super Mario Odyssey,2017,https://www.youtube.com/watch?v=lcX9fDn9lKA
1673,#1673,"Dear, My Dressmaker",Shadow Hearts,Shadow Hearts 2,2004,https://youtu.be/fnQ93e0nBns
1672,#1672,Hailfire Peaks,Banjo,Banjo-Tooie,2000,https://www.youtube.com/watch?v=s9ZoR8TogwQ
1671,#1671,Blub Blub Ocean,Kirby,Kirby's Epic Yarn,2010,https://youtu.be/1P7McVe_xSY
